vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GF,202011,0.772438347601691,2020,3,0.578125,1.1228813559322037,1.4411764705882353,0.588235294117647,True
MEDIUM LOW,GF,202012,0.772438347601691,2020,3,0.578125,1.1228813559322033,2.9705882352941178,1.764705882352941,True
MEDIUM LOW,GF,202016,0.772438347601691,2020,4,0.578125,1.1228813559322033,2.0294117647058822,1.176470588235294,True
MEDIUM LOW,GF,202017,0.772438347601691,2020,4,0.578125,1.1228813559322033,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GF,202018,0.772438347601691,2020,4,0.578125,1.1228813559322033,3.2647058823529407,1.764705882352941,True
MEDIUM LOW,GF,202019,0.772438347601691,2020,5,0.578125,1.1228813559322033,3.117647058823529,1.764705882352941,True
MEDIUM LOW,GF,202020,0.772438347601691,2020,5,0.578125,1.1228813559322033,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GF,202021,0.772438347601691,2020,5,0.578125,1.1228813559322033,1.2352941176470587,1.176470588235294,True
MEDIUM LOW,GF,202022,0.772438347601691,2020,5,0.578125,1.1228813559322033,3.2941176470588234,1.176470588235294,True
MEDIUM LOW,GF,202023,0.772438347601691,2020,6,0.578125,1.1228813559322033,1.941176470588235,0.588235294117647,True
MEDIUM LOW,GF,202025,0.772438347601691,2020,6,0.578125,1.1228813559322033,0.9999999999999999,0.588235294117647,True
MEDIUM LOW,GF,202026,0.772438347601691,2020,6,0.578125,1.1228813559322033,1.3235294117647058,1.176470588235294,True
MEDIUM LOW,GF,202027,0.772438347601691,2020,6,0.578125,1.1228813559322033,1.176470588235294,1.176470588235294,True
MEDIUM LOW,GF,202027,0.772438347601691,2020,7,0.578125,1.1228813559322033,1.1176470588235292,0.588235294117647,True
MEDIUM LOW,GF,202028,0.772438347601691,2020,7,0.578125,1.1228813559322033,1.2941176470588236,0.588235294117647,True
MEDIUM LOW,GF,202031,0.772438347601691,2020,7,0.578125,1.1228813559322033,0.5294117647058824,0.588235294117647,True
MEDIUM LOW,GF,202032,0.772438347601691,2020,8,0.578125,1.1228813559322033,2.352941176470588,1.176470588235294,True
MEDIUM LOW,GF,202034,0.772438347601691,2020,8,0.578125,1.1228813559322033,1.2941176470588236,0.588235294117647,True
MEDIUM LOW,GF,202035,0.772438347601691,2020,8,0.578125,1.1228813559322033,1.8823529411764706,1.176470588235294,True
MEDIUM LOW,GF,202036,0.772438347601691,2020,8,0.578125,1.1228813559322033,1.2352941176470587,0.588235294117647,True
