vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
LOW END,JE,1.9193228900498793,2020,11,1.03125,0.9468085106382979,0.9444444444444445,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,13,1.03125,0.9680851063829787,0.9444444444444445,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,20,1.03125,0.9680851063829787,0.2777777777777778,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,29,1.03125,0.9680851063829787,0.7222222222222223,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,33,1.03125,0.9680851063829787,0.8333333333333334,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,35,1.03125,0.9680851063829787,0.7222222222222223,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,36,1.03125,0.9680851063829787,0.4444444444444445,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,38,1.03125,0.9680851063829787,0.8888888888888891,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,42,1.03125,0.9680851063829787,0.8888888888888891,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,47,1.03125,0.9680851063829787,1.0000000000000002,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,49,1.03125,0.774468085106383,1.0000000000000002,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,51,1.03125,0.8712765957446809,1.8888888888888893,1.1111111111111112,True
LOW END,JE,1.9193228900498793,2021,3,1.03125,0.8712765957446809,1.9444444444444446,1.1111111111111112,True
LOW END,JE,1.9193228900498793,2021,12,1.03125,0.9680851063829787,0.9444444444444445,0.5555555555555556,False
LOW END,AM,0.10589134649091315,2020,32,0.265625,1.1617021276595747,0.8888888888888891,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,8,1.09375,0.9574468085106383,1.0555555555555556,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,27,1.09375,0.9574468085106383,0.8333333333333334,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,36,1.09375,0.9574468085106385,1.277777777777778,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,39,1.09375,0.9574468085106383,1.1666666666666667,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,42,1.09375,1.0106382978723405,1.1666666666666667,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,45,1.09375,1.0106382978723405,1.1666666666666667,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,46,1.09375,1.0106382978723405,0.7777777777777778,0.5555555555555556,True
