vehicle_make,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AB,KX,202007,3.6881401142454515,2020,2,2.5625,1.2105263157894737,1.0666666666666667,0.6666666666666666,True
AB,KX,202018,3.6881401142454515,2020,4,2.5625,1.2105263157894737,0.9333333333333332,0.6666666666666666,True
AB,KX,202024,3.6881401142454515,2020,6,2.5625,1.2105263157894737,0.5333333333333333,0.6666666666666666,True
AB,KX,202033,3.6881401142454515,2020,8,2.5625,1.2105263157894737,0.9333333333333332,0.6666666666666666,True
AB,KX,202037,3.6881401142454515,2020,9,2.5625,1.035,2.6666666666666665,0.6666666666666666,True
AB,KX,202045,3.6881401142454515,2020,11,2.5625,0.9078947368421053,1.0666666666666667,0.6666666666666666,True
AB,KX,202049,3.6881401142454515,2020,12,2.5625,1.2105263157894737,1.6666666666666667,0.6666666666666666,True
AB,KX,202101,3.6881401142454515,2021,1,2.5625,1.2105263157894737,1.4000000000000001,0.6666666666666666,True
AB,KX,202115,3.6881401142454515,2021,4,2.5625,1.2105263157894737,2.2666666666666666,1.3333333333333333,False
AB,KY,202021,3.588141791858544,2020,5,2.59375,0.894736842105263,0.9333333333333332,0.6666666666666666,True
AB,KY,202115,3.588141791858544,2021,4,2.59375,0.8947368421052632,0.4666666666666666,0.6666666666666666,False
AB,KZ,202107,0.41317094038601876,2021,2,0.71875,1.105263157894737,1.0666666666666667,0.6666666666666666,True
AB,LA,202006,4.116522811344019,2020,2,2.546875,1.2210526315789474,0.9333333333333332,0.6666666666666666,True
AB,LA,202023,4.116522811344019,2020,6,2.546875,1.2210526315789474,1.0,0.6666666666666666,True
AB,LA,202024,4.116522811344019,2020,6,2.546875,1.2210526315789474,0.6666666666666666,0.6666666666666666,True
AB,LA,202025,4.116522811344019,2020,6,2.546875,1.2210526315789474,0.7999999999999999,0.6666666666666666,True
AB,LA,202043,4.116522811344019,2020,10,2.546875,1.2210526315789472,1.5333333333333334,0.6666666666666666,True
