year_week,target_1,ds,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,target_2,target_3,target_4,number_of_holidays,number_of_holidays_next_week,number_of_holidays_previous_week
202113,0.8941398865784499,2021-03-29,1.0151228733459357,0.9300567107750473,1.0189035916824196,1.0170132325141776,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1323251417769375,0.9168241965973535,1.1190926275992439,1.0264650283553876,2,1,0
202114,0.9168241965973535,2021-04-05,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0189035916824196,1.0170132325141776,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1190926275992439,1.0264650283553876,1.1190926275992439,1,0,2
202115,1.1190926275992439,2021-04-12,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0189035916824196,1.0170132325141776,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0264650283553876,1.1190926275992439,1.0,0,0,1
202116,1.0264650283553876,2021-04-19,1.1190926275992439,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0189035916824196,1.0170132325141776,1.1228733459357279,0.9395085066162571,1.1190926275992439,1.0,0.7599243856332704,0,1,0
202117,1.1190926275992439,2021-04-26,1.0264650283553876,1.1190926275992439,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0189035916824196,1.0170132325141776,1.1228733459357279,1.0,0.7599243856332704,0.9376181474480151,1,0,0
202118,1.0,2021-05-03,1.1190926275992439,1.0264650283553876,1.1190926275992439,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0189035916824196,1.0170132325141776,0.7599243856332704,0.9376181474480151,1.0604914933837428,0,1,1
202119,0.7599243856332704,2021-05-10,1.0,1.1190926275992439,1.0264650283553876,1.1190926275992439,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0189035916824196,0.9376181474480151,1.0604914933837428,0.502835538752363,1,1,0
202120,0.9376181474480151,2021-05-17,0.7599243856332704,1.0,1.1190926275992439,1.0264650283553876,1.1190926275992439,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.9300567107750473,1.0604914933837428,0.502835538752363,,1,0,1
202121,1.0604914933837428,2021-05-24,0.9376181474480151,0.7599243856332704,1.0,1.1190926275992439,1.0264650283553876,1.1190926275992439,0.9168241965973535,0.8941398865784499,1.0151228733459357,0.502835538752363,,,0,1,1
202122,0.502835538752363,2021-05-31,1.0604914933837428,0.9376181474480151,0.7599243856332704,1.0,1.1190926275992439,1.0264650283553876,1.1190926275992439,0.9168241965973535,0.8941398865784499,,,,1,0,0
